Query_ID,Query_Content,Target_LSU/Path,Complexity,Expert1_Decision,Expert1_Academic_Rationale,Expert2_Decision,Expert2_Practitioner_Rationale,Final_Status
T1_PROV_TCK_M74,Türk Ceza Kanunu'nun 74. maddesi hangi yükümlülüğü düzenler?,TCK_M74,1-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
T1_PROV_TTK_M1445,Türk Ticaret Kanunu'nun 1445. maddesi hangi yükümlülüğü düzenler?,TTK_M1445,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
T1_PROV_TTK_M53,TTK m.53'nin içeriği nedir?,TTK_M53,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,"Sorgunun varsaydığı maddi vakıa ile hukuki sonuç, işaret edilen dokümanda birebir mevcut. Pratikte karşılığı olan güçlü bir sorgu.",VALIDATED
T1_PROV_TBK_M336,Türk Borçlar Kanunu Madde 336 ne hükmeder?,TBK_M336,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_PROV_TBK_M321,TBK m.321'nin içeriği nedir?,TBK_M321,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
T1_DEC_rekabet_fa16fa4e-ee89-4005-99c3-d5b3fda50263,Rekabet Kurumu kararı (rekabet_fa16fa4e-ee89-4005-99c3-d5b3fda50263): 'DLT Turizm ve Ticaret AŞ’nin sermayesinin %100’ünü temsil eden payların ve tek kontrolünün Tera Yatı' — hangi kanun maddelerini uygulamıştır?,REKABET_K_M7,1-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
T2_DP_rekabet_7cd3dea2-0ba6-403b-a24f-7b744a35fea7_REKABET_K_M16,"'Provision Bilgi İşlem Sanayi ve Ticaret AŞ'nin tek kontrolünün Dgpaysit Bilişim ' konusundaki Rekabet Kurumu kararı, REKABET_K Madde 16'yi uygulayarak hangi diğer maddelere bağlanmaktadır?","REKABET_K_M16, REKABET_K_M7",2-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
T2_DP_001-250580_IK_M19,"'Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Vict' konusundaki AİHM kararı, İş Kanunu Madde 19'yi uygulayarak hangi diğer maddelere bağlanmaktadır?","IK_M19, IK_M18, IK_M25, IK_M20",3-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
T2_DP_rekabet_31a548a6-c0ae-4041-b3a5-d5cd45feea68_REKABET_K_M4,"'Rekabet Kurulunun 26.10.2023 tarihli ve 23-50/955-M sayılı kararı ile Aydın ilin' konusundaki Rekabet Kurumu kararı, REKABET_K Madde 4'yi uygulayarak hangi diğer maddelere bağlanmaktadır?","REKABET_K_M4, REKABET_K_M40, REKABET_K_M43",3-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
T2_DP_sayistay_32412_TCK_M204,"'Konu: Kamu görevlisinin maaş ödemelerinde usulsüzlük yapmak suretiyle Belediyeye' konusundaki Sayıştay kararı, Türk Ceza Kanunu Madde 204'yi uygulayarak hangi diğer maddelere bağlanmaktadır?","TCK_M204, BELEDIYE_K_M12, TCK_M205",3-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
MANUAL_001,Türk Borçlar Kanunu'nda haksız fiil sorumluluğu nasıl düzenlenir? TBK Madde 49 ve bağlantılı maddeler nelerdir?,"TBK_M49, TBK_M50, TBK_M51, TBK_M52, TBK_M53",3-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
MANUAL_002,Anayasa Mahkemesi mülkiyet hakkı ihlali kararlarında hangi Anayasa maddesi esas alınır ve bu madde ile ilgili kanun hükümleri nelerdir?,"AY_M35, AY_M46, TMK_M683, TMK_M684",3-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
MANUAL_003,Aşırı ifa güçlüğü (hardship) durumunda borçlunun hakları nelerdir? TBK 138 ve ilgili maddeler?,"TBK_M138, TBK_M137, TBK_M136",3-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
MANUAL_004,Makul sürede yargılanma hakkının ihlal edildiği AYM kararları hangi anayasa ve sözleşme maddelerine dayanır?,"AY_M36, AY_M141",2-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
MANUAL_005,Türk Ceza Kanunu'nda görevi kötüye kullanma suçu hangi maddede düzenlenir ve CMK'daki ilgili usul hükümleri nelerdir?,"TCK_M257, CMK_M250",2-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Sorgunun varsaydığı maddi vakıa ile hukuki sonuç, işaret edilen dokümanda birebir mevcut. Pratikte karşılığı olan güçlü bir sorgu. (Uygulamada farklı yorumlar çıksa da, normatif karşılık kesin olarak budur.)",VALIDATED
MANUAL_006,KVKK kapsamında kişisel veri işlemenin yasal dayanakları nelerdir? Hangi maddeler açık rıza şartını düzenler?,"KVKK_M5, KVKK_M6, KVKK_M3",3-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
MANUAL_007,İş sözleşmesinin haklı nedenle feshi durumunda işçi tazminat hakları hangi İş Kanunu maddelerinde düzenlenir?,"IK_M25, IK_M24, IK_M17, IK_M18",3-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,"Sorgunun varsaydığı maddi vakıa ile hukuki sonuç, işaret edilen dokümanda birebir mevcut. Pratikte karşılığı olan güçlü bir sorgu. (Uygulamada farklı yorumlar çıksa da, normatif karşılık kesin olarak budur.)",VALIDATED
MANUAL_008,"Bir ticaret şirketinin iflasında TTK, İİK ve TMK'nın kesiştiği hukuki alanlar nelerdir?","TTK_M376, IIK_M179, TMK_M47",3-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
MANUAL_009,Kişi hürriyeti ve güvenliği hakkı kapsamında tutukluluk süresine ilişkin AYM kararları hangi hak ve özgürlüklere değinmektedir?,"AY_M19, AY_M36, AY_M38",3-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
MANUAL_010,Rekabet Kurumu kararlarında teşebbüslerin uyumlu eylem ve anlaşmalarına dayanak gösterilen kanun hükümleri nelerdir?,,3-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,"Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut. (Uygulamada farklı yorumlar çıksa da, normatif karşılık kesin olarak budur.)",VALIDATED
S8_T1_TTK_M371,TTK m.371'de tanımlanan hukuki kurum nedir ve uygulama koşulları nelerdir?,TTK_M371,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Sorgunun varsaydığı maddi vakıa ile hukuki sonuç, işaret edilen dokümanda birebir mevcut. Pratikte karşılığı olan güçlü bir sorgu.",VALIDATED
S8_T1_TMK_M473,TMK m.473'nin pratik uygulama alanı ve hukuki sonuçları nelerdir?,TMK_M473,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_AY_M136,Anayasa Madde 136'nın Diyanet İşleri Başkanlığı'na ilişkin düzenlemesi nedir?,AY_M136,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_TBK_M316,TBK m.316'de tanımlanan hukuki kurum nedir ve uygulama koşulları nelerdir?,TBK_M316,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_AY_M139,Anayasa Madde 139 amir hükmünün özeti nedir?,AY_M139,1-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
S8_T1_TBK_M347,Türk Borçlar Kanunu'nun 347. maddesi hangi durumlarda uygulanır?,TBK_M347,1-hop,ACCEPT,"Kararın veya normun zamansal geçerliliği ve normlar hiyerarşisi, sorgunun beklentisiyle uyum içerisinde. Doğrulanmıştır.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_TMK_M633,TMK m.633'nin pratik uygulama alanı ve hukuki sonuçları nelerdir?,TMK_M633,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor. (Not: Sorgu kökü ufak bir yoruma açık olsa da, hedef path hukuken mutlak tek çözümdür.)",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_TMK_M356,TMK m.356'de tanımlanan hukuki kurum nedir ve uygulama koşulları nelerdir?,TMK_M356,1-hop,ACCEPT,"Sorgu, mevzuatın lafzına ve ruhuna uygun. Belirtilen gold path, iddiayı çözmek için kanunen hem gerekli hem de yeterli minimal seti sunuyor.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_VUK_M194,Vergi Usul Kanunu Madde 194 amir hükmünün özeti nedir?,VUK_M194,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
S8_T1_VUK_M165,Vergi Usul Kanunu Madde 165 kapsamında hangi hak ve yükümlülükler düzenlenmektedir?,VUK_M165,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_TBK_M446,TBK m.446'de tanımlanan hukuki kurum nedir ve uygulama koşulları nelerdir?,TBK_M446,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir. (Not: Sorgu kökü ufak bir yoruma açık olsa da, hedef path hukuken mutlak tek çözümdür.)",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum.",VALIDATED
S8_T1_IIK_M40,İcra ve İflas Kanunu Madde 40 kapsamında hangi hak ve yükümlülükler düzenlenmektedir?,IIK_M40,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
S8_T1_VUK_M24,Vergi Usul Kanunu Madde 24 amir hükmünün özeti nedir?,VUK_M24,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_IIK_M319,İcra ve İflas Kanunu Madde 319 amir hükmünün özeti nedir?,IIK_M319,1-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
S8_T1_TCK_M11,TCK m.11'de tanımlanan hukuki kurum nedir ve uygulama koşulları nelerdir?,TCK_M11,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
S8_T1_HMK_M348,HMK m.348'nin pratik uygulama alanı ve hukuki sonuçları nelerdir?,HMK_M348,1-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
S8_T1_TBK_M387,Türk Borçlar Kanunu'nun 387. maddesi hangi durumlarda uygulanır?,TBK_M387,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,"Özel hukuk pratiğinde ve sözleşme/mülkiyet ihtilaflarında başvurulan ana norm. Olgusal uyum tam, onaylıyorum. (Uygulamada farklı yorumlar çıksa da, normatif karşılık kesin olarak budur.)",VALIDATED
S8_T1_HMK_M370,Hukuk Muhakemeleri Kanunu Madde 370 kapsamında hangi hak ve yükümlülükler düzenlenmektedir?,HMK_M370,1-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_DEC_sayistay_32426,"'Konu: Bilgisayar işletmeni kadrosunda bulunan memurun, mevzuatta aranan şartları' konusundaki Sayıştay kararı hangi kanun maddelerini esas almıştır?",DMK_M68,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Uygulama ile tam bir bütünlük taşıyor. Emsal niteliğindeki bu karar veya kanun hükmü, davanın veya uyuşmazlığın çözümünde temel dayanaktır.",VALIDATED
S8_T1_DEC_rekabet_be1014a2-9af6-419c-9823-daef83f10d7d,"Rekabet Kurumu: 'Rekabet Kurulunun 10.04.2025 tarihli ve 25-14/316-M(1) sayılı, 23.10.2025 tarihl' — bu kararda uygulanan temel hukuki hükümler nelerdir?","REKABET_K_M4, REKABET_K_M43",2-hop,ACCEPT,"Literatür ve içtihat uygulamaları dikkate alındığında, sorgu yapısı gerçek hayattaki karmaşık hukuki ihtilafları başarıyla simüle etmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_DEC_rekabet_954c1378-166d-4055-9cea-2727883d2d10,'Ortus Yazılım AŞ’nin belli bir orandaki hissesinin Bupa Turkey Sağlık Hizmetleri' konusundaki Rekabet Kurumu kararı hangi kanun maddelerini esas almıştır?,"REKABET_K_M7, REKABET_K_M3",2-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
S8_T1_DEC_rekabet_8e1a7722-1737-4d0a-8ac0-c2029e33312b,"Rekabet Kurumu: 'Rekabet Kurulunun 29.02.2024 tarihli ve 24-11/200-M sayılı, 20.12.2024 tarihli v' — bu kararda uygulanan temel hukuki hükümler nelerdir?","REKABET_K_M4, REKABET_K_M40, REKABET_K_M43",3-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_DEC_rekabet_be4a632f-e322-4145-be2a-8f18dd212c89,'Rekabet Kurulunun 12.06.2024 tarih ve 24-26/626-M(2) sayılı kararı ile 4054 sayı' konusundaki Rekabet Kurumu kararı hangi kanun maddelerini esas almıştır?,"REKABET_K_M4, REKABET_K_M44",2-hop,ACCEPT,"Hukuki olay (issue) ile hukuki kural (rule) ilişkisi doğru kurulmuş. Hedef referans belgesi, problemi bağlayıcı olarak çözmektedir.",ACCEPT,Bağlantı doğru kurulmuş. Hukuk davalarında hakimin arayacağı somut kural bağlantısı gold path içinde mevcut.,VALIDATED
S8_T1_DEC_sayistay_32373,"Sayıştay: 'Konu: Belediye tarafından vakıf için öğrenci yurdu inşa edilmesi 

   171 sayı' — bu kararda uygulanan temel hukuki hükümler nelerdir?",BELEDIYE_K_M14,1-hop,ACCEPT,"Sorgunun kapsadığı yasal doktrin ve normlar, hedeflenen Kanun maddesi ile yapısal olarak birebir örtüşüyor. Hukuki illiyet bağı açık.",ACCEPT,"Avukatlık pratiğinde sıkça karşılaşılan bir senaryo. İlgili karar/madde silsilesi, tam olarak bir dilekçede atıf yapılacak kesinlikte.",VALIDATED
S8_T1_DEC_rekabet_04ff3b6d-ea5a-46f3-a69d-1958c11e2ba3,'CyberArk Software Ltd.nin tüm hisselerinin ve tek kontrolünün Palo Alto Networks' konusundaki Rekabet Kurumu kararı hangi kanun maddelerini esas almıştır?,REKABET_K_M7,1-hop,ACCEPT,Çok aşamalı (multi-hop) doğası gereği ardışık yasal bağlam doğru tespit edilmiş. Soru mantığı kusursuz.,ACCEPT,"Müvekkil açısından pratik bir problem. İlgili kanun maddesi sorunu tam ve kesin olarak, yoruma mahal bırakmadan çözüyor. Onaylıyorum.",VALIDATED
